env,mode,seed,gen,pct_x
DelayedPayoff,GA,110,350,0.00
DelayedPayoff,GA,110,400,0.00
DelayedPayoff,GA,110,450,0.00
DelayedPayoff,GA,110,500,0.00
DelayedPayoff,GA,110,550,0.00
DelayedPayoff,GA,110,600,0.00
DelayedPayoff,GA,110,650,0.00
DelayedPayoff,GA,110,700,0.00
DelayedPayoff,GA,110,750,0.00
DelayedPayoff,GA,110,800,0.00
DelayedPayoff,GA,110,850,0.00
DelayedPayoff,GA,110,900,0.00
DelayedPayoff,GA,110,950,0.00
DelayedPayoff,GA,110,1000,0.00
DelayedPayoff,GA,111,0,0.00
DelayedPayoff,GA,111,50,0.00
DelayedPayoff,GA,111,100,0.00
DelayedPayoff,GA,111,150,0.00
DelayedPayoff,GA,111,200,0.00
DelayedPayoff,GA,111,250,0.00
DelayedPayoff,GA,111,300,0.00
DelayedPayoff,GA,111,350,0.00
DelayedPayoff,GA,111,400,0.00
DelayedPayoff,GA,111,450,0.00
DelayedPayoff,GA,111,500,0.00
DelayedPayoff,GA,111,550,0.00
DelayedPayoff,GA,111,600,0.00
DelayedPayoff,GA,111,650,0.00
DelayedPayoff,GA,111,700,0.00
DelayedPayoff,GA,111,750,0.00
DelayedPayoff,GA,111,800,0.00
DelayedPayoff,GA,111,850,0.00
DelayedPayoff,GA,111,900,0.00
DelayedPayoff,GA,111,950,0.00
DelayedPayoff,GA,111,1000,0.00
DelayedPayoff,GA,112,0,0.00
DelayedPayoff,GA,112,50,0.00
DelayedPayoff,GA,112,100,0.00
DelayedPayoff,GA,112,150,0.00
DelayedPayoff,GA,112,200,0.00
DelayedPayoff,GA,112,250,0.00
DelayedPayoff,GA,112,300,0.00
DelayedPayoff,GA,112,350,0.00
DelayedPayoff,GA,112,400,0.00
DelayedPayoff,GA,112,450,0.00
DelayedPayoff,GA,112,500,0.00
DelayedPayoff,GA,112,550,0.00
DelayedPayoff,GA,112,600,0.00
DelayedPayoff,GA,112,650,0.00
DelayedPayoff,GA,112,700,0.00
DelayedPayoff,GA,112,750,0.00
DelayedPayoff,GA,112,800,0.00
DelayedPayoff,GA,112,850,0.00
DelayedPayoff,GA,112,900,0.00
DelayedPayoff,GA,112,950,0.00
DelayedPayoff,GA,112,1000,0.00
DelayedPayoff,GA,113,0,0.00
DelayedPayoff,GA,113,50,0.00
DelayedPayoff,GA,113,100,0.00
DelayedPayoff,GA,113,150,0.00
DelayedPayoff,GA,113,200,0.00
DelayedPayoff,GA,113,250,0.00
DelayedPayoff,GA,113,300,0.00
DelayedPayoff,GA,113,350,0.00
DelayedPayoff,GA,113,400,0.00
DelayedPayoff,GA,113,450,0.00
DelayedPayoff,GA,113,500,0.00
DelayedPayoff,GA,113,550,0.00
DelayedPayoff,GA,113,600,0.00
DelayedPayoff,GA,113,650,0.00
DelayedPayoff,GA,113,700,0.00
DelayedPayoff,GA,113,750,0.00
DelayedPayoff,GA,113,800,0.00
DelayedPayoff,GA,113,850,0.00
DelayedPayoff,GA,113,900,0.00
DelayedPayoff,GA,113,950,0.00
DelayedPayoff,GA,113,1000,0.00
DelayedPayoff,GA,114,0,0.00
DelayedPayoff,GA,114,50,0.00
DelayedPayoff,GA,114,100,0.00
DelayedPayoff,GA,114,150,0.00
DelayedPayoff,GA,114,200,0.00
DelayedPayoff,GA,114,250,0.00
DelayedPayoff,GA,114,300,0.00
DelayedPayoff,GA,114,350,0.00
DelayedPayoff,GA,114,400,0.00
DelayedPayoff,GA,114,450,0.00
DelayedPayoff,GA,114,500,0.00
DelayedPayoff,GA,114,550,0.00
DelayedPayoff,GA,114,600,0.00
DelayedPayoff,GA,114,650,0.00
DelayedPayoff,GA,114,700,0.00
DelayedPayoff,GA,114,750,0.00
DelayedPayoff,GA,114,800,0.00
DelayedPayoff,GA,114,850,0.00
DelayedPayoff,GA,114,900,0.00
DelayedPayoff,GA,114,950,0.00
DelayedPayoff,GA,114,1000,0.00
DelayedPayoff,GA,115,0,0.00
DelayedPayoff,GA,115,50,0.00
DelayedPayoff,GA,115,100,0.00
DelayedPayoff,GA,115,150,0.00
DelayedPayoff,GA,115,200,0.00
DelayedPayoff,GA,115,250,0.00
DelayedPayoff,GA,115,300,0.00
DelayedPayoff,GA,115,350,0.00
DelayedPayoff,GA,115,400,0.00
DelayedPayoff,GA,115,450,0.00
DelayedPayoff,GA,115,500,0.00
DelayedPayoff,GA,115,550,0.00
DelayedPayoff,GA,115,600,0.00
DelayedPayoff,GA,115,650,0.00
DelayedPayoff,GA,115,700,0.00
DelayedPayoff,GA,115,750,0.00
DelayedPayoff,GA,115,800,0.00
DelayedPayoff,GA,115,850,0.00
DelayedPayoff,GA,115,900,0.00
DelayedPayoff,GA,115,950,0.00
DelayedPayoff,GA,115,1000,0.00
DelayedPayoff,GA,116,0,0.00
DelayedPayoff,GA,116,50,0.00
DelayedPayoff,GA,116,100,0.00
DelayedPayoff,GA,116,150,0.00
DelayedPayoff,GA,116,200,0.00
DelayedPayoff,GA,116,250,0.00
DelayedPayoff,GA,116,300,0.00
DelayedPayoff,GA,116,350,0.00
DelayedPayoff,GA,116,400,0.00
DelayedPayoff,GA,116,450,0.00
DelayedPayoff,GA,116,500,0.00
DelayedPayoff,GA,116,550,0.00
DelayedPayoff,GA,116,600,0.00
DelayedPayoff,GA,116,650,0.00
DelayedPayoff,GA,116,700,0.00
DelayedPayoff,GA,116,750,0.00
DelayedPayoff,GA,116,800,0.00
DelayedPayoff,GA,116,850,0.00
DelayedPayoff,GA,116,900,0.00
DelayedPayoff,GA,116,950,0.00
DelayedPayoff,GA,116,1000,0.00
DelayedPayoff,GA,117,0,0.00
DelayedPayoff,GA,117,50,0.00
DelayedPayoff,GA,117,100,0.00
DelayedPayoff,GA,117,150,0.00
DelayedPayoff,GA,117,200,0.00
DelayedPayoff,GA,117,250,0.00
DelayedPayoff,GA,117,300,0.00
DelayedPayoff,GA,117,350,0.00
DelayedPayoff,GA,117,400,0.00
DelayedPayoff,GA,117,450,0.00
DelayedPayoff,GA,117,500,0.00
DelayedPayoff,GA,117,550,0.00
DelayedPayoff,GA,117,600,0.00
DelayedPayoff,GA,117,650,0.00
DelayedPayoff,GA,117,700,0.00
DelayedPayoff,GA,117,750,0.00
DelayedPayoff,GA,117,800,0.00
DelayedPayoff,GA,117,850,0.00
DelayedPayoff,GA,117,900,0.00
DelayedPayoff,GA,117,950,0.00
DelayedPayoff,GA,117,1000,0.00
DelayedPayoff,GA,118,0,0.00
DelayedPayoff,GA,118,50,0.00
DelayedPayoff,GA,118,100,0.00
DelayedPayoff,GA,118,150,0.00
DelayedPayoff,GA,118,200,0.00
DelayedPayoff,GA,118,250,0.00
DelayedPayoff,GA,118,300,0.00
DelayedPayoff,GA,118,350,0.00
DelayedPayoff,GA,118,400,0.00
DelayedPayoff,GA,118,450,0.00
DelayedPayoff,GA,118,500,0.00
DelayedPayoff,GA,118,550,0.00
DelayedPayoff,GA,118,600,0.00
DelayedPayoff,GA,118,650,0.00
DelayedPayoff,GA,118,700,0.00
DelayedPayoff,GA,118,750,0.00
DelayedPayoff,GA,118,800,0.00
DelayedPayoff,GA,118,850,0.00
DelayedPayoff,GA,118,900,0.00
DelayedPayoff,GA,118,950,0.00
DelayedPayoff,GA,118,1000,0.00
DelayedPayoff,GA,119,0,0.00
DelayedPayoff,GA,119,50,0.00
DelayedPayoff,GA,119,100,0.00
DelayedPayoff,GA,119,150,0.00
DelayedPayoff,GA,119,200,0.00
DelayedPayoff,GA,119,250,0.00
DelayedPayoff,GA,119,300,0.00
DelayedPayoff,GA,119,350,0.00
DelayedPayoff,GA,119,400,0.00
DelayedPayoff,GA,119,450,0.00
DelayedPayoff,GA,119,500,0.00
DelayedPayoff,GA,119,550,0.00
DelayedPayoff,GA,119,600,0.00
DelayedPayoff,GA,119,650,0.00
DelayedPayoff,GA,119,700,0.00
DelayedPayoff,GA,119,750,0.00
DelayedPayoff,GA,119,800,0.00
DelayedPayoff,GA,119,850,0.00
DelayedPayoff,GA,119,900,0.00
DelayedPayoff,GA,119,950,0.00
DelayedPayoff,GA,119,1000,0.00
DelayedPayoff,PureSA,100,0,0.00
DelayedPayoff,PureSA,100,50,0.00
DelayedPayoff,PureSA,100,100,0.00
DelayedPayoff,PureSA,100,150,0.00
DelayedPayoff,PureSA,100,200,0.00
DelayedPayoff,PureSA,100,250,0.00
DelayedPayoff,PureSA,100,300,0.00
DelayedPayoff,PureSA,100,350,0.00
DelayedPayoff,PureSA,100,400,0.00
DelayedPayoff,PureSA,100,450,0.00
DelayedPayoff,PureSA,100,500,0.00
DelayedPayoff,PureSA,100,550,0.00
DelayedPayoff,PureSA,100,600,0.00
DelayedPayoff,PureSA,100,650,0.00
DelayedPayoff,PureSA,100,700,0.00
DelayedPayoff,PureSA,100,750,0.00
DelayedPayoff,PureSA,100,800,0.00
DelayedPayoff,PureSA,100,850,0.00
DelayedPayoff,PureSA,100,900,0.00
DelayedPayoff,PureSA,100,950,0.00
DelayedPayoff,PureSA,100,1000,0.00
DelayedPayoff,PureSA,101,0,0.00
DelayedPayoff,PureSA,101,50,0.00
DelayedPayoff,PureSA,101,100,0.00
DelayedPayoff,PureSA,101,150,0.00
DelayedPayoff,PureSA,101,200,0.00
DelayedPayoff,PureSA,101,250,0.00
DelayedPayoff,PureSA,101,300,0.00
DelayedPayoff,PureSA,101,350,0.00
DelayedPayoff,PureSA,101,400,0.00
DelayedPayoff,PureSA,101,450,0.00
DelayedPayoff,PureSA,101,500,0.00
DelayedPayoff,PureSA,101,550,0.00
DelayedPayoff,PureSA,101,600,0.00
DelayedPayoff,PureSA,101,650,0.00
DelayedPayoff,PureSA,101,700,0.00
DelayedPayoff,PureSA,101,750,0.00
DelayedPayoff,PureSA,101,800,0.00
DelayedPayoff,PureSA,101,850,0.00
DelayedPayoff,PureSA,101,900,0.00
DelayedPayoff,PureSA,101,950,0.00
DelayedPayoff,PureSA,101,1000,0.00
DelayedPayoff,PureSA,102,0,0.00
DelayedPayoff,PureSA,102,50,0.00
DelayedPayoff,PureSA,102,100,0.00
DelayedPayoff,PureSA,102,150,0.00
DelayedPayoff,PureSA,102,200,0.00
DelayedPayoff,PureSA,102,250,0.00
DelayedPayoff,PureSA,102,300,0.00
DelayedPayoff,PureSA,102,350,0.00
DelayedPayoff,PureSA,102,400,0.00
DelayedPayoff,PureSA,102,450,0.00
DelayedPayoff,PureSA,102,500,0.00
DelayedPayoff,PureSA,102,550,0.00
DelayedPayoff,PureSA,102,600,0.00
DelayedPayoff,PureSA,102,650,0.00
DelayedPayoff,PureSA,102,700,0.00
DelayedPayoff,PureSA,102,750,0.00
DelayedPayoff,PureSA,102,800,0.00
DelayedPayoff,PureSA,102,850,0.00
DelayedPayoff,PureSA,102,900,0.00
DelayedPayoff,PureSA,102,950,0.00
DelayedPayoff,PureSA,102,1000,0.00
DelayedPayoff,PureSA,103,0,0.00
DelayedPayoff,PureSA,103,50,0.00
DelayedPayoff,PureSA,103,100,0.00
DelayedPayoff,PureSA,103,150,0.00
DelayedPayoff,PureSA,103,200,0.00
DelayedPayoff,PureSA,103,250,0.00
DelayedPayoff,PureSA,103,300,0.00
DelayedPayoff,PureSA,103,350,0.00
DelayedPayoff,PureSA,103,400,0.00
DelayedPayoff,PureSA,103,450,0.00
DelayedPayoff,PureSA,103,500,0.00
DelayedPayoff,PureSA,103,550,1.00
DelayedPayoff,PureSA,103,600,1.00
DelayedPayoff,PureSA,103,650,1.00
DelayedPayoff,PureSA,103,700,1.00
DelayedPayoff,PureSA,103,750,1.00
DelayedPayoff,PureSA,103,800,1.00
DelayedPayoff,PureSA,103,850,1.00
DelayedPayoff,PureSA,103,900,1.00
DelayedPayoff,PureSA,103,950,1.00
DelayedPayoff,PureSA,103,1000,1.00
DelayedPayoff,PureSA,104,0,0.00
DelayedPayoff,PureSA,104,50,0.00
DelayedPayoff,PureSA,104,100,0.00
DelayedPayoff,PureSA,104,150,0.00
DelayedPayoff,PureSA,104,200,0.00
DelayedPayoff,PureSA,104,250,0.00
DelayedPayoff,PureSA,104,300,0.00
DelayedPayoff,PureSA,104,350,0.00
DelayedPayoff,PureSA,104,400,0.00
DelayedPayoff,PureSA,104,450,0.00
DelayedPayoff,PureSA,104,500,0.00
DelayedPayoff,PureSA,104,550,0.00
DelayedPayoff,PureSA,104,600,0.00
DelayedPayoff,PureSA,104,650,0.00
DelayedPayoff,PureSA,104,700,0.00
DelayedPayoff,PureSA,104,750,0.00
DelayedPayoff,PureSA,104,800,0.00
DelayedPayoff,PureSA,104,850,0.00
DelayedPayoff,PureSA,104,900,0.00
DelayedPayoff,PureSA,104,950,0.00
DelayedPayoff,PureSA,104,1000,0.00
DelayedPayoff,PureSA,105,0,0.00
DelayedPayoff,PureSA,105,50,0.00
DelayedPayoff,PureSA,105,100,0.00
DelayedPayoff,PureSA,105,150,0.00
DelayedPayoff,PureSA,105,200,0.00
DelayedPayoff,PureSA,105,250,0.00
DelayedPayoff,PureSA,105,300,0.00
DelayedPayoff,PureSA,105,350,0.00
DelayedPayoff,PureSA,105,400,0.00
DelayedPayoff,PureSA,105,450,0.00
DelayedPayoff,PureSA,105,500,0.00
DelayedPayoff,PureSA,105,550,0.00
DelayedPayoff,PureSA,105,600,0.00
DelayedPayoff,PureSA,105,650,0.00
DelayedPayoff,PureSA,105,700,0.00
DelayedPayoff,PureSA,105,750,0.00
DelayedPayoff,PureSA,105,800,0.00
DelayedPayoff,PureSA,105,850,0.00
DelayedPayoff,PureSA,105,900,0.00
DelayedPayoff,PureSA,105,950,0.00
DelayedPayoff,PureSA,105,1000,0.00
DelayedPayoff,PureSA,106,0,0.00
DelayedPayoff,PureSA,106,50,0.00
DelayedPayoff,PureSA,106,100,0.00
DelayedPayoff,PureSA,106,150,0.00
DelayedPayoff,PureSA,106,200,0.00
DelayedPayoff,PureSA,106,250,0.00
DelayedPayoff,PureSA,106,300,0.00
DelayedPayoff,PureSA,106,350,0.00
DelayedPayoff,PureSA,106,400,0.00
DelayedPayoff,PureSA,106,450,0.00
DelayedPayoff,PureSA,106,500,0.00
DelayedPayoff,PureSA,106,550,0.00
DelayedPayoff,PureSA,106,600,0.00
DelayedPayoff,PureSA,106,650,0.00
DelayedPayoff,PureSA,106,700,0.00
DelayedPayoff,PureSA,106,750,0.00
DelayedPayoff,PureSA,106,800,0.00
DelayedPayoff,PureSA,106,850,0.00
DelayedPayoff,PureSA,106,900,0.00
DelayedPayoff,PureSA,106,950,0.00
DelayedPayoff,PureSA,106,1000,0.00
DelayedPayoff,PureSA,107,0,0.00
DelayedPayoff,PureSA,107,50,0.00
DelayedPayoff,PureSA,107,100,0.00
DelayedPayoff,PureSA,107,150,0.00
DelayedPayoff,PureSA,107,200,0.00
DelayedPayoff,PureSA,107,250,0.00
DelayedPayoff,PureSA,107,300,0.00
DelayedPayoff,PureSA,107,350,0.00
DelayedPayoff,PureSA,107,400,0.00
DelayedPayoff,PureSA,107,450,0.00
DelayedPayoff,PureSA,107,500,0.00
DelayedPayoff,PureSA,107,550,0.00
DelayedPayoff,PureSA,107,600,0.00
DelayedPayoff,PureSA,107,650,0.00
DelayedPayoff,PureSA,107,700,0.00
DelayedPayoff,PureSA,107,750,0.00
DelayedPayoff,PureSA,107,800,0.00
DelayedPayoff,PureSA,107,850,0.00
DelayedPayoff,PureSA,107,900,0.00
DelayedPayoff,PureSA,107,950,1.00
DelayedPayoff,PureSA,107,1000,1.00
DelayedPayoff,PureSA,108,0,0.00
DelayedPayoff,PureSA,108,50,0.00
DelayedPayoff,PureSA,108,100,0.00
DelayedPayoff,PureSA,108,150,0.00
DelayedPayoff,PureSA,108,200,0.00
DelayedPayoff,PureSA,108,250,0.00
DelayedPayoff,PureSA,108,300,0.00
DelayedPayoff,PureSA,108,350,0.00
DelayedPayoff,PureSA,108,400,0.00
DelayedPayoff,PureSA,108,450,0.00
DelayedPayoff,PureSA,108,500,0.00
DelayedPayoff,PureSA,108,550,0.00
DelayedPayoff,PureSA,108,600,0.00
DelayedPayoff,PureSA,108,650,0.00
DelayedPayoff,PureSA,108,700,0.00
DelayedPayoff,PureSA,108,750,0.00
DelayedPayoff,PureSA,108,800,0.00
DelayedPayoff,PureSA,108,850,0.00
DelayedPayoff,PureSA,108,900,0.00
DelayedPayoff,PureSA,108,950,0.00
DelayedPayoff,PureSA,108,1000,0.00
DelayedPayoff,PureSA,109,0,0.00
DelayedPayoff,PureSA,109,50,0.00
DelayedPayoff,PureSA,109,100,0.00
DelayedPayoff,PureSA,109,150,0.00
DelayedPayoff,PureSA,109,200,0.00
DelayedPayoff,PureSA,109,250,0.00
DelayedPayoff,PureSA,109,300,0.00
DelayedPayoff,PureSA,109,350,0.00
DelayedPayoff,PureSA,109,400,0.00
DelayedPayoff,PureSA,109,450,0.00
DelayedPayoff,PureSA,109,500,0.00
DelayedPayoff,PureSA,109,550,0.00
DelayedPayoff,PureSA,109,600,0.00
DelayedPayoff,PureSA,109,650,0.00
DelayedPayoff,PureSA,109,700,0.00
DelayedPayoff,PureSA,109,750,0.00
DelayedPayoff,PureSA,109,800,0.00
DelayedPayoff,PureSA,109,850,0.00
DelayedPayoff,PureSA,109,900,0.00
DelayedPayoff,PureSA,109,950,0.00
DelayedPayoff,PureSA,109,1000,0.00
